date,home_team,away_team,home_score,away_score,home_elo,away_elo,home_fifa_ranking,away_fifa_ranking,home_average_age,away_average_age,home_squad_size,away_squad_size,home_market_value,away_market_value,home_confederation,away_confederation,neutral,tournament
1912-09-22,Argentina,Uruguay,0.0,1.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Argentino
1912-10-06,Argentina,Uruguay,3.0,3.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Copa Newton
1912-12-01,Uruguay,Argentina,1.0,3.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Friendly
1913-02-04,Philippines,China,2.0,1.0,1234.0,1566.0,135,91,26.4,27.9,22,26,3330000.0,14330000.0,AFC,AFC,False,Far Eastern Championship Games
1913-03-03,Wales,Scotland,0.0,0.0,1476.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1913-03-09,Switzerland,France,1.0,4.0,1543.0,1529.0,19,3,28.4,27.1,26,26,332500000.0,34375000.0,UEFA,UEFA,False,Friendly
1913-03-17,England,Wales,4.0,3.0,2050.0,1476.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1913-04-05,England,Scotland,1.0,0.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1913-04-20,France,Luxembourg,8.0,0.0,1529.0,1288.0,3,98,27.1,26.2,26,23,34375000.0,14980000.0,UEFA,UEFA,False,Friendly
1913-05-18,Germany,Switzerland,1.0,2.0,1660.0,1543.0,10,19,28.1,28.4,26,26,947000000.0,332500000.0,UEFA,UEFA,False,Friendly
1913-05-18,Hungary,Sweden,2.0,0.0,1865.0,1691.0,39,38,25.7,27.6,29,26,209199997.0,406079987.0,UEFA,UEFA,False,Friendly
1913-06-15,Argentina,Uruguay,1.0,1.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Friendly
1913-07-09,Argentina,Uruguay,2.0,1.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Friendly
1913-08-15,Argentina,Uruguay,4.0,0.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Copa Lipton
1913-08-31,Argentina,Uruguay,2.0,0.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Argentino
1913-10-05,Uruguay,Argentina,1.0,0.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Uruguayo
1913-10-26,Uruguay,Argentina,1.0,0.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Newton
1914-02-08,Luxembourg,France,5.0,4.0,1288.0,1529.0,98,3,26.2,27.1,23,26,14980000.0,34375000.0,UEFA,UEFA,False,Friendly
1914-02-28,Scotland,Wales,0.0,0.0,1991.0,1476.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1914-03-08,France,Switzerland,2.0,2.0,1529.0,1543.0,3,19,27.1,28.4,26,26,34375000.0,332500000.0,UEFA,UEFA,False,Friendly
1914-03-16,Wales,England,0.0,2.0,1476.0,2050.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1914-04-04,Scotland,England,3.0,1.0,1991.0,2050.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1914-05-31,Hungary,France,5.0,1.0,1865.0,1529.0,39,3,25.7,27.1,29,26,209199997.0,34375000.0,UEFA,UEFA,False,Friendly
1914-06-21,Sweden,Hungary,1.0,1.0,1691.0,1865.0,38,39,27.6,25.7,26,29,406079987.0,209199997.0,UEFA,UEFA,False,Friendly
1914-08-30,Uruguay,Argentina,3.0,2.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Uruguayo
1914-09-13,Argentina,Uruguay,2.0,1.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Argentino
1915-05-18,China,Philippines,0.0,0.0,1552.0,1248.0,91,135,27.9,26.4,26,22,14330000.0,3330000.0,AFC,AFC,False,Far Eastern Championship Games
1915-05-19,China,Philippines,1.0,0.0,1552.0,1248.0,91,135,27.9,26.4,26,22,14330000.0,3330000.0,AFC,AFC,False,Far Eastern Championship Games
1915-07-18,Uruguay,Argentina,2.0,3.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Uruguayo
1915-08-15,Argentina,Uruguay,2.0,1.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Copa Lipton
1915-09-12,Uruguay,Argentina,2.0,0.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Newton
1916-07-17,Argentina,Uruguay,0.0,0.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Copa América
1916-08-15,Argentina,Uruguay,3.0,1.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Copa Newton
1916-08-15,Uruguay,Argentina,1.0,2.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Lipton
1916-10-01,Argentina,Uruguay,7.0,2.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Friendly
1916-10-01,Uruguay,Argentina,0.0,1.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Uruguayo
1916-10-29,Uruguay,Argentina,3.0,1.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Friendly
1917-05-09,Japan,China,0.0,5.0,1275.0,1566.0,18,91,27.6,27.9,26,26,270850006.0,14330000.0,AFC,AFC,False,Far Eastern Championship Games
1917-05-10,Japan,Philippines,2.0,15.0,1275.0,1248.0,18,135,27.6,26.4,26,22,270850006.0,3330000.0,AFC,AFC,False,Far Eastern Championship Games
1917-05-11,China,Philippines,3.0,0.0,1566.0,1248.0,91,135,27.9,26.4,26,22,14330000.0,3330000.0,AFC,AFC,True,Far Eastern Championship Games
1917-07-18,Uruguay,Argentina,0.0,2.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Uruguayo
1917-08-15,Argentina,Uruguay,1.0,0.0,1939.0,1922.0,1,16,29.2,28.8,26,26,807500000.0,359299988.0,CONMEBOL,CONMEBOL,False,Copa Lipton
